GEOid,GEOid2,GEOdisplaylabel,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0500000US19001,19001,"Adair County, Iowa",3252,124,2062,84,1740,102,1190,103,4.4,1.2,1.6,0.9,1,0.7,9.4,2.7,6.1,1.4,1.8,1,1.6,1,13.5,3.6,11.5,1.8,7.7,1.8,5.1,1.4,19.7,4.4,11.6,2.1,6.6,1.9,5.1,1.6,20.9,5.3,20.1,2.7,19.8,3.2,19.3,3.5,19.3,5.2,20.8,2.2,28.9,3.5,29.5,4.1,10.1,2.5,12.7,1.9,17.5,2.8,19.4,3.2,2.3,1.4,8.9,2,10.2,2.3,12,2.6,4.7,2.9,2.3,1.1,3.5,1.6,4.1,1.9,0,1.7,1.5,0.9,2.4,1.4,2.9,1.6,0,1.7,47264,1914,58822,2467,63902,2632,27071,2387,57994,2872,70302,3938,N,N,34083,3007,22.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.6,(X)
0500000US19003,19003,"Adams County, Iowa",1735,83,1187,65,1052,68,548,70,5.6,1.7,3,2.1,1.5,1.8,11.9,3.2,6.3,2.1,4.5,2.2,3.5,2.2,13.1,4.4,13.7,2.7,6.2,1.8,5.8,1.9,28.1,7.8,6.5,1.6,4.5,1.6,4,1.6,10.8,3.7,20.3,3.2,21.1,4.2,20,4.1,18.1,6.7,26.5,4,32.4,5,34.6,5.9,12.8,5.7,12.3,2.5,16.5,3.5,17.5,4,2.6,1.8,4.3,1.3,5.1,1.7,5.8,1.9,2.4,1.9,2.7,1,3.7,1.4,4.2,1.6,0.4,0.7,1.9,1,2.8,1.5,3.1,1.7,0,3.6,47335,3981,56935,3295,59821,3197,24336,2154,56825,3602,68079,5199,N,N,31396,2829,28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.8,(X)
0500000US19005,19005,"Allamakee County, Iowa",5899,191,3941,190,3357,178,1958,192,4.1,1.1,2.2,1.1,1,0.7,8.7,2.5,5.9,1.5,1.8,0.9,1,0.6,15.1,3.8,12.7,2.3,9.1,2.2,5.5,1.5,21.1,5.2,13.5,2.3,13.7,2.8,11.9,2.6,13.4,3.7,15.3,2.2,16,3.2,17.1,3.4,13.1,3.6,21.6,2.5,23.6,3.1,25.7,3.2,17,3.9,12.2,2.1,16.3,2.6,17.9,3,3.7,2.1,10.5,1.9,12.5,2.4,14.4,2.5,5.2,2.4,2.1,0.8,2.5,1,3,1.2,1.2,1,2.1,0.9,2.2,1,2.6,1.2,1.7,1.7,47886,3919,57300,4214,63276,3208,28149,3273,60995,3020,69839,3958,N,N,40992,5037,25,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.9,(X)
0500000US19007,19007,"Appanoose County, Iowa",5447,153,3401,186,2785,171,2046,189,9.1,2.1,2.4,1.2,1,0.6,21.4,4.8,6.9,1.9,3.9,1.6,3.6,1.6,12.1,3.8,15.2,2.5,10.8,2.6,7.8,2.1,21.9,4,11.7,1.9,11.8,2.2,9.7,2.2,12.8,3.9,15.7,1.9,16.5,2.7,17.3,3,13.6,3.2,20.7,2.4,27.1,3.6,29.1,4.1,10.5,3.1,11.2,2.1,14.7,3.4,16.4,3.7,7,3.7,6.1,1.5,8.3,2,9.6,2.1,0.6,0.7,1.6,0.8,2.1,1.1,2.6,1.4,0,1,1.7,0.8,2.4,1.1,2.9,1.4,0,1,41525,1942,55639,4578,60938,2103,22417,3007,52615,3573,64415,5032,N,N,29323,3203,27.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X)
0500000US19009,19009,"Audubon County, Iowa",2703,94,1711,84,1437,83,992,91,4.8,1.5,2.2,1.3,1.3,1,10.3,3.5,5.4,1.5,2.8,1.8,1.4,1.2,11.7,3.6,15.8,3,7.4,2.6,6.5,2.8,29,5.2,12.5,2.2,11.2,3.1,7.7,2.5,14.9,3.6,13.9,2.3,14.9,3.2,13.5,3.2,12.1,3.5,18,2.4,21.9,3.6,23.8,4.1,10.6,3.7,12.4,2.3,15.5,3.5,17.6,4.1,6.4,3.2,10.8,2.4,15.3,3.3,17.6,3.8,2.9,2.9,2.4,1,3.7,1.7,4.5,2,0,2,4,1.5,5.1,2.1,6.1,2.5,2.1,1.4,47556,5805,62255,5097,69973,4705,24752,1905,67251,7097,82656,10080,N,N,39401,5657,26.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.5,(X)
0500000US19011,19011,"Benton County, Iowa",10137,230,7327,235,6217,222,2810,245,3.2,1,2.7,1.1,1.1,0.7,7.4,3,3.8,0.9,0.6,0.4,0.3,0.3,10.9,3.1,9.8,1.4,5.8,1.4,3.6,0.9,22,4.3,11.9,1.9,8.6,2,7.4,1.9,20.4,4.4,12.6,1.6,11.6,2,11.4,2.2,14.1,3.2,21.2,2,22.5,2.6,21.5,2.5,17.1,4.2,15.4,1.7,19.6,2.3,22.1,2.5,3.6,1.5,16.6,1.4,21.5,1.8,24.4,2,3.2,1.6,3.3,0.8,4.4,1.1,5.2,1.3,0.4,0.4,2.2,0.7,2.8,0.9,2.9,1,0.9,0.9,59186,2929,73002,2928,78775,2053,29930,2692,70982,3119,82497,4053,N,N,38658,3073,24.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.9,(X)
0500000US19013,19013,"Black Hawk County, Iowa",52438,604,31033,552,23800,538,21405,642,7.7,0.6,5.1,0.8,1.2,0.4,12.6,1.3,5.6,0.6,2.5,0.5,0.9,0.4,10,1.3,11.5,0.8,7,0.9,4.6,0.8,18.4,1.7,12.2,0.9,8.7,0.9,6.3,0.9,17.3,1.6,15.6,1.2,14.5,1.2,13.3,1.2,17.5,1.9,20.2,1,23.7,1.3,26.4,1.4,14.2,1.6,11.5,0.8,15.3,1.1,18.7,1.4,5.4,1,10.9,0.7,15.5,1,19.4,1.3,3.5,0.6,2.9,0.4,4.5,0.6,5.5,0.8,0.5,0.2,2,0.3,3.1,0.5,3.7,0.7,0.5,0.2,47002,1082,62701,1373,72630,1456,30259,1222,60230,1138,74379,1799,85630,2100,37998,1278,27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),27,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X)
0500000US19015,19015,"Boone County, Iowa",10619,259,6866,247,5541,239,3753,265,4.2,1.1,2,0.9,0.7,0.5,9.8,2.9,4.7,1.2,1.2,0.6,0.2,0.2,11.2,3,12.4,1.7,7.2,2.1,5.1,2.1,21.9,3.9,10.1,1.7,7.4,1.8,4.8,1.5,16.4,3.8,15.7,1.7,14.6,2,12.8,1.9,17.8,3.7,20.5,2,24.1,2.7,24.6,3.2,13.1,3.4,13.7,1.6,18.3,2.2,21.3,2.6,3.5,1.7,13.5,1.9,17.9,2.6,21.9,3.1,5,2.5,2.8,0.8,4.1,1.2,5.1,1.4,0.3,0.3,2.3,0.7,3.1,1,3.4,1.1,1,0.9,52714,2324,67321,4393,76537,3415,28445,2686,65973,3448,79764,4774,N,N,38988,3748,24,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.6,(X)
0500000US19017,19017,"Bremer County, Iowa",9296,191,6557,196,5633,193,2739,201,5.7,1.3,1.8,0.8,0.2,0.2,15.3,3.6,4.4,0.9,2.2,0.9,1,0.6,9.7,2.3,8.9,1.3,5.8,1.6,3.1,1.1,19.1,3,7.7,1.1,4.3,1,3.5,0.9,16.6,3,13.1,1.5,11.4,1.4,10.7,1.4,17.3,3.3,20.5,1.9,23.5,2.2,24.1,2.4,12.6,3.4,16.5,1.8,20.7,2.3,22.9,2.4,4.5,1.6,15.5,1.4,19.9,1.9,22.5,2.3,3.7,1.2,4.2,1,5.7,1.4,6.5,1.6,0.6,0.7,3.5,0.9,4.7,1.2,5.5,1.4,0.6,0.6,61619,1798,76334,2755,83509,2895,29428,3750,75627,3248,90503,4772,N,N,37204,3019,25.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X)
0500000US19019,19019,"Buchanan County, Iowa",8298,186,5777,178,4876,200,2521,199,4,1.2,2,1,0.8,0.6,9,3.1,5.2,1.2,2.7,1.2,1.5,0.9,11.3,2.6,8.3,1.2,4.1,1.3,2.5,1.1,19.1,3.5,9,1.3,7.6,1.5,6.3,1.7,12.5,2.9,16.4,1.9,13.2,1.9,12.5,2.1,23.7,4.8,22.5,2.3,24.7,2.7,26.3,3,16.9,4.3,15.6,2,20.1,2.5,21.8,2.6,4.4,1.5,13,1.5,17.6,1.9,19.7,2.1,1.9,1.2,2.8,0.8,3.7,1,3.7,1.1,0.7,0.6,3.1,1,4.3,1.4,4.9,1.7,0.4,0.5,56393,2587,70111,3935,75040,2987,33833,3289,72508,5034,86387,6585,N,N,39050,4700,27.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X)
